"Date","Price","Open","High","Low","Vol.","Change %"
"06/13/2014","748.00","748.00","748.00","748.00","","-1.58%"
"06/12/2014","760.00","760.00","760.00","760.00","","-1.81%"
"06/11/2014","774.00","774.00","774.00","774.00","","-1.65%"
"06/10/2014","787.00","787.00","787.00","787.00","","-1.25%"
"06/09/2014","797.00","797.00","797.00","797.00","","-0.62%"
"06/06/2014","802.00","802.00","802.00","802.00","","-1.11%"
"06/05/2014","811.00","811.00","811.00","811.00","","-1.22%"
"06/04/2014","821.00","821.00","821.00","821.00","","-0.97%"
"06/03/2014","829.00","829.00","829.00","829.00","","0.00%"
"06/02/2014","829.00","829.00","829.00","829.00","","-0.12%"
"05/30/2014","830.00","830.00","830.00","830.00","","-1.07%"
"05/29/2014","839.00","839.00","839.00","839.00","","-0.83%"
"05/28/2014","846.00","846.00","846.00","846.00","","-1.05%"
"05/27/2014","855.00","855.00","855.00","855.00","","-1.27%"
"05/23/2014","866.00","866.00","866.00","866.00","","-0.69%"
"05/22/2014","872.00","872.00","872.00","872.00","","-1.36%"
"05/21/2014","884.00","884.00","884.00","884.00","","-0.79%"
"05/20/2014","891.00","891.00","891.00","891.00","","-0.56%"
"05/19/2014","896.00","896.00","896.00","896.00","","-0.33%"
"05/16/2014","899.00","899.00","899.00","899.00","","-0.22%"
"05/15/2014","901.00","901.00","901.00","901.00","","-0.33%"
"05/14/2014","904.00","904.00","904.00","904.00","","0.00%"
"05/13/2014","904.00","904.00","904.00","904.00","","-0.11%"
"05/12/2014","905.00","905.00","905.00","905.00","","-0.44%"
"05/09/2014","909.00","909.00","909.00","909.00","","-0.98%"
"05/08/2014","918.00","918.00","918.00","918.00","","-0.22%"
"05/07/2014","920.00","920.00","920.00","920.00","","0.33%"
"05/06/2014","917.00","917.00","917.00","917.00","","0.22%"
"05/02/2014","915.00","915.00","915.00","915.00","","0.00%"
"05/01/2014","915.00","915.00","915.00","915.00","","-0.44%"
"04/30/2014","919.00","919.00","919.00","919.00","","-0.33%"
"04/29/2014","922.00","922.00","922.00","922.00","","0.66%"
"04/28/2014","916.00","916.00","916.00","916.00","","0.44%"
"04/25/2014","912.00","912.00","912.00","912.00","","0.33%"
"04/24/2014","909.00","909.00","909.00","909.00","","-0.22%"
"04/23/2014","911.00","911.00","911.00","911.00","","0.22%"
"04/22/2014","909.00","909.00","909.00","909.00","","0.11%"
"04/17/2014","908.00","908.00","908.00","908.00","","-0.11%"
"04/16/2014","909.00","909.00","909.00","909.00","","-0.76%"
"04/15/2014","916.00","916.00","916.00","916.00","","-0.54%"
"04/14/2014","921.00","921.00","921.00","921.00","","-0.65%"
"04/11/2014","927.00","927.00","927.00","927.00","","-0.96%"
"04/10/2014","936.00","936.00","936.00","936.00","","-1.37%"
"04/09/2014","949.00","949.00","949.00","949.00","","-1.66%"
"04/08/2014","965.00","965.00","965.00","965.00","","-1.73%"
"04/07/2014","982.00","982.00","982.00","982.00","","-2.09%"
"04/04/2014","1,003.00","1,003.00","1,003.00","1,003.00","","-2.15%"
"04/03/2014","1,025.00","1,025.00","1,025.00","1,025.00","","-2.10%"
"04/02/2014","1,047.00","1,047.00","1,047.00","1,047.00","","-1.97%"
"04/01/2014","1,068.00","1,068.00","1,068.00","1,068.00","","-2.02%"
